video_id,date,time,description
P01_01,30/04/2017,13:49:00,"prepared rice with tofu, celery, carrots and onions. put dry dishes into cupboard."
P01_02,30/04/2017,14:23:00,"washed dishes, wiped sink and counter, put food container into fridge"
P01_03,09/05/2017,08:30:00,prepared breakfast with soy milk and cereals
P01_04,09/05/2017,08:41:00,"put cereals back into the cupboard, washed the cup up"
P01_05,09/05/2017,21:18:00,"cooked vegetarian sausages and potatoes, put dry dishes into cupboard"
P01_06,09/05/2017,21:42:00,"washed dishes, wiped sink and counter"
P01_07,10/05/2017,09:03:00,"prepared breakfast with soy milk and cereals, put dry dishes into cupboard"
P01_08,10/05/2017,09:13:00,"washed up, put cereals back into the cupboard"
P01_09,10/05/2017,21:06:22,"baked two pizzas (prepared dough, cooked toppings)"
P01_10,10/05/2017,22:13:10,"took second pizza out of the oven, cut and served pizza"
P01_11,10/05/2017,22:24:26,"put pizza leftovers into container, washed up dishes, took rubbish bins out"
P01_12,11/05/2017,08:44:11,"prepared breakfast with soy milk and cereals, put dry dishes into cupboard"
P01_13,11/05/2017,08:53:53,"washed up, put cereals back into the cupboard"
P01_14,11/05/2017,19:37:46,"put rubbish bins into place, prepared pasta with mozzarella, aubergine, onions and tomato sauce"
P01_15,11/05/2017,21:05:33,"washed dishes, wiped sink and counter"
P01_16,12/05/2017,09:30:22,"put dry dishes into cupboard, took cereals and poured soy milk"
P01_17,12/05/2017,09:41:11,"prepared salad with lettuce, tomatoes, carrots, onions and mushrooms, washed up"
P01_18,13/05/2017,12:37:26,"prepared risotto with squash, mushrooms and onions, washed up"
P01_19,13/05/2017,14:01:42,"washed dishes, wiped sink and counter"
P02_01,04/05/2017,09:04:00,"prepared coffee, forgot to change the pod so emptied the mug and prepared again, and prepared cereal with milk"
P02_02,04/05/2017,09:44:00,"emptied the rubbish bin and replaced the bag, and washed the dishes"
P02_03,04/05/2017,20:55:00,"cooked pasta with broccoli and a white sauce with pesto, along with microwaved chicken"
P02_04,04/05/2017,21:53:00,put rest of pasta in tupperware in the fridge and washed the dishes
P02_05,06/05/2017,19:31:00,drank water and closed open cupboards
P02_06,06/05/2017,19:49:00,"cleared the kitchen, washed the dishes twice, put frozen onion rings, chicken burger and fries in the oven and prepared salad"
P02_07,06/05/2017,19:58:00,"set off the timer, took the tray out of the oven and flipped content, and prepared mayo and ketchup sauce"
P02_08,06/05/2017,20:08:00,"set of the timer, got food out of the oven and served it"
P02_09,07/05/2017,17:38:00,"prepared dough, cooked minced meat, washed dishes and drank water"
P02_10,07/05/2017,18:02:00,checked and stirred minced meat being cooked
P02_11,07/05/2017,18:12:00,stirred and seasoned minced meat being cooked
P02_12,07/05/2017,19:14:00,"added yoghurt to meat and seasoned, then put meat on dough to make pies, some with meat and some with thyme and olive oil. "
P02_13,07/05/2017,19:24:00,put pie trays into oven and set timer
P02_14,07/05/2017,19:35:00,shifted trays in oven
P02_15,07/05/2017,20:45:00,put pies in tupperware and into the fridge
P03_02,08/05/2017,21:44:05,"making lunch, taking out bin and cleaning bin"
P03_03,09/05/2017,09:51:57,getting lunch and doing washing
P03_04,09/05/2017,17:56:46,putting away food and cooking dinner
P03_05,09/05/2017,18:41:53,cook dinner
P03_06,09/05/2017,19:00:12,serving up dinner
P03_07,09/05/2017,19:16:07,putting dishes on side and washing grapes
P03_08,09/05/2017,19:33:13,put food back in fridge
P03_09,09/05/2017,22:34:58,make lunch and wash up
P03_10,10/05/2017,09:23:14,make breakfast
P03_11,10/05/2017,09:26:58,make breakfast
P03_12,10/05/2017,09:39:45,putting dishes on side
P03_13,10/05/2017,17:53:23,making drinks
P03_14,10/05/2017,18:13:52,starting dinner and sweeping floor
P03_15,10/05/2017,18:28:22,check on dinner
P03_16,10/05/2017,18:35:08,making dinner
P03_17,10/05/2017,18:47:41,serving up dinner
P03_18,10/05/2017,20:57:36,put food in fridge
P03_19,10/05/2017,21:34:18,make lunch and wash up
P03_20,10/05/2017,21:49:08,make lunch and wash up
P03_21,11/05/2017,07:55:35,make drink
P03_22,11/05/2017,09:03:47,get bag ready and get breakfast
P03_23,11/05/2017,18:11:04,making dinner
P03_24,11/05/2017,18:27:29,cooking dinner and serving
P03_25,11/05/2017,18:51:18,make drinks and get grapes
P03_26,11/05/2017,19:57:04,put dishes on side
P03_27,11/05/2017,21:45:11,make drink and wash hands
P03_28,11/05/2017,21:49:22,make drinks and get grapes
P04_01,09/05/2017,08:03:12,"started making food for lunches (tuna tofu miso burgers, tamagoyaki and vegetables)"
P04_02,09/05/2017,08:24:00,continued making food for lunches
P04_03,09/05/2017,08:50:02,finished making food and packed lunch box
P04_04,09/05/2017,18:02:12,"making curries - fried paneer, boiled potatoes + chopped veg"
P04_05,09/05/2017,18:17:04,continue making saag paneer and potato curry and make dough for flatbread
P04_06,09/05/2017,18:52:16,finish curries and flatbread and serve food
P04_07,09/05/2017,19:18:18,put away leftover food and clear up ingredients
P04_08,10/05/2017,08:23:54,make breakfast
P04_09,10/05/2017,18:12:34,"empty and reload dishwasher, clean counters and wash up"
P04_10,10/05/2017,18:19:46,chop vegetables and chicken for jambalaya and start cooking
P04_11,10/05/2017,18:38:55,continue cooking jambalaya - chop chorizo
P04_12,10/05/2017,18:44:54,retrieve spices and continue cooking
P04_13,10/05/2017,18:47:48,continue cooking and spill rice
P04_14,10/05/2017,18:53:10,clean up spilt rice
P04_15,10/05/2017,18:54:58,check on food in pan
P04_16,10/05/2017,18:56:34,continue cooking - add stock
P04_17,10/05/2017,19:12:42,check on jambalaya and wash knife
P04_18,10/05/2017,19:15:18,wash chopping board and check on food
P04_19,10/05/2017,19:27:35,drink water and check on food
P04_20,10/05/2017,19:36:14,serve food
P04_21,10/05/2017,20:29:30,"put away leftover food, load and turn on dishwasher"
P04_22,11/05/2017,08:07:50,toast spices
P04_23,11/05/2017,08:11:34,make massaman curry paste
P04_24,11/05/2017,08:30:06,continue making massaman curry
P04_25,11/05/2017,08:39:58,mix coconut milk and peel and chop potatoes for curry
P04_26,11/05/2017,08:46:24,chop chilli
P04_27,11/05/2017,08:47:06,continue chopping chilli
P04_28,11/05/2017,08:48:55,continue making curry
P04_29,11/05/2017,08:52:01,finish making curry and start assembling lunch
P04_30,11/05/2017,09:12:53,finish packing lunch and make breakfast
P04_31,11/05/2017,18:18:53,"unload dishwasher, check on curry, wash rice and prepare broccoli"
P04_32,11/05/2017,19:15:24,check on and start serving food
P04_33,11/05/2017,19:16:23,finish serving food and put away leftover rice
P05_01,12/05/2017,09:03:02,"make tea with milk, pick up a banana and a muffin"
P05_02,12/05/2017,19:44:26,"make microwaveable popcorn, pick up tortilla and dip"
P05_03,12/05/2017,20:34:04,cook pasta and wash dishes
P05_04,13/05/2017,09:54:00,empty drainer and make tea with milk
P05_05,13/05/2017,20:45:25,"continue emptying drainer, heat milk and get cookie"
P05_06,14/05/2017,10:54:46,make tea with milk and get cookie
P05_07,14/05/2017,17:56:54,cook dinner and wash dishes
P05_08,14/05/2017,20:21:40,"cook pasta with meat and vegetables, put in tupperwares and wash dishes"
