noun_id,class_key,nouns
0,Nothing,['Nothing']
1,pan,"['pan', 'pan:sauce', 'pan:frying', 'pan:cake', 'saucepan', 'saucepan:empty', 'saucepan:small', 'wok', 'wok:scour', 'pan:content']"
2,pan:dust,"['pan:dust', 'dustpan']"
3,tap,"['tap', 'tap:water', 'nozzle', 'nozzle:coffee']"
4,plate,"['plate', 'plate:pasta', 'saucer', 'dish', 'plate:salad', 'plate:lasagna', 'food:plate', 'flatware', 'pate']"
5,knife,"['knife', 'knife:mincing', 'knife:using', 'blade', 'chopper', 'knife:mezzaluna', 'chopper:moon', 'mezzaluna']"
6,bowl,"['bowl', 'bowl:salad', 'bowl:glass', 'bowl:sugar', 'bowl:empty', 'bowl:cooker', 'bowl:washing', 'bowl:egg', 'bowl:processor']"
7,spoon,"['spoon', 'spoon:wooden', 'spoon:using', 'teaspoon', 'risotto:spoon', 'spade', 'spade:food', 'spoon:coffee', 'spoon:tea', 'measure', 'stirrer:coffee', 'scoop', 'stirrer', 'tablespoon']"
8,cupboard,"['cupboard', 'cabinet', 'locker', 'flap', 'door', 'door:cabinet', 'door:cupboard', 'closet']"
9,drawer,"['drawer', 'drawer:dishwasher', 'drawer:freezer', 'drawer:refrigerator', 'draw']"
10,fridge,"['fridge', 'refrigerator', 'door:refrigerator', 'door:fridge']"
11,lid,"['lid', 'lid:pot', 'lid:tin', 'lid:saucepan', 'lid:tupperware', 'lid:box', 'lid:pan', 'lid:bottle', 'lid:teapot', 'lid:kettle', 'lid:yoghurt', 'lid:chopper', 'seal']"
12,hand,"['hand', 'hand:using', 'hand:my']"
13,onion,"['onion', 'onion:cutting', 'piece:onion', 'bit:onion']"
14,onion:spring,['onion:spring']
15,pot,"['pot', 'pot:coffee', 'pot:small', 'pot:white', 'pot:right', 'pot:left', 'pot:teapot', 'pot:second', 'teapot', 'part:teapot', 'pot:pressure', 'pot:pasta', 'pot:sauce', 'pot:third', 'pot:first']"
16,glass,"['glass', 'glass:wine', 'glass:empty']"
17,water,"['water', 'water:tap', 'water:empty', 'water:excess', 'water:hot', 'water:more', 'excess:water']"
18,fork,"['fork', 'fork:soap']"
19,board:chopping,"['board:chopping', 'board:cutting', 'board', 'board:serving', 'block:chopping', 'board:cut', 'block']"
20,bag,"['bag', 'bag:plastic', 'bag:pasta', 'bag:mozzarella', 'bag:cereal', 'bag:grape', 'bag:flour', 'bag:cheese', 'bag:nut', 'bag:rice', 'bag:oregano', 'bag:salad', 'bag:bin', 'bag:coffee', 'bag:spaghetti', 'bag:food', 'bag:trash', 'bag:onion', 'bag:carrot', 'bag:bread', 'bag:grapes', 'bag:sandwich', 'bag:kitchen']"
21,sponge,"['sponge', 'scrubber']"
22,spatula,"['spatula', 'spatula:wooden', 'spate']"
23,cup,"['cup', 'cup:coffee', 'cup:measuring', 'cup:small', 'mug', 'mug:rinse', 'mug:clean']"
24,oil,"['oil', 'oil:olive', 'oil:chilli', 'oil:sesame']"
25,bin,"['bin', 'bin:trash', 'bin:dust', 'bin:food', 'dustbin', 'bin:rubbish', 'bin:garbage', 'bin:recycling', 'basket:waste', 'wastebasket']"
26,meat,"['meat', 'meat:minced', 'piece:meat', 'mix:meat', 'meat:mix', 'mincemeat', 'meat:mince']"
27,potato,"['potato', 'potato:baby']"
28,bottle,"['bottle', 'bottle:oil', 'bottle:milk', 'bottle:water', 'bottle:sauce', 'bottle:pesto', 'bottle:vinegar']"
29,container,"['container', 'container:food', 'container:milk', 'container:sauce', 'container:rice', 'container:tofu', 'container:sugar', 'container:salt', 'container:tomato', 'container:pasta', 'container:cake', 'bin:bread', 'bucket']"
30,tomato,"['tomato', 'tomato:dried', 'tomato:cherry', 'tomato:chopped', 'sun']"
31,salt,"['salt', 'seasoning']"
32,cloth,"['cloth', 'cloth:table', 'rag', 'cloth:dish', 'cloth:cleaning', 'cloth:washing', 'dishrag']"
33,sink,"['sink', 'sink:kitchen', 'sink:water']"
34,door:kitchen,['door:kitchen']
35,pasta,"['pasta', 'spaghetti', 'piece:pasta', 'lasagne']"
36,dish:soap,['dish:soap']
37,food,"['food', 'food:scoop', 'residue:food', 'bit:food', 'grocery']"
38,kettle,['kettle']
39,box,"['box', 'box:lunch', 'box:cereal', 'box:tea', 'box:salt', 'tupperware', 'lunchbox', 'case', 'box:mushroom', 'box:coffee', 'box:cheese', 'box:milk', 'box:rice', 'box:carrot', 'box:fruit', 'pot:plastic', 'tub', 'box:plastic', 'box:eggs', 'box:fajita']"
40,carrot,"['carrot', 'carrot:tail']"
41,sauce,"['sauce', 'sauce:soy', 'sauce:fish', 'sauce:pesto', 'sauce:tomato', 'salsa', 'tabasco', 'sauce:soya', 'soy', 'passata', 'mirin']"
42,colander,"['colander', 'strainer:pasta']"
43,milk,"['milk', 'milk:soy', 'milk:coconut', 'milk:soya']"
44,rice,"['rice', 'rice:scoop']"
45,garlic,"['garlic', 'garlic:chop', 'garlic:peel', 'piece:garlic', 'clove', 'bit:garlic', 'bulb']"
46,pepper,"['pepper', 'pepper:bell']"
47,hob,"['hob', 'stove', 'gas', 'burners', 'hop', 'hot', 'burner']"
48,dough,['dough']
49,dishwasher,"['dishwasher', 'dishwater']"
50,egg,"['egg', 'flour:egg']"
51,cheese,"['cheese', 'slice:cheese', 'mixture:cheese', 'mozzarella', 'paneer', 'slice:mozzarella', 'parmesan']"
52,bread,"['bread', 'bread:white', 'bread:toast', 'loaf', 'rusk', 'toast', 'bun:hamburger', 'slice:bread', 'ciabatta', 'bread:sandwich']"
53,table,"['table', 'table:round']"
54,salad,"['salad', 'salad:cucumber']"
55,microwave,"['microwave', 'oven:microwave']"
56,oven,"['oven', 'oven:adjust', 'cooker', 'door:oven']"
57,cooker:slow,"['cooker:slow', 'cooker:rice']"
58,coffee,"['coffee', 'coffee:scoop', 'pod:coffee', 'bean:coffee', 'ground:coffee', 'scoop:coffee', 'spill:coffee', 'grounds', 'ground']"
59,filter,"['filter', 'filter:water', 'filter:coffee', 'filter:empty', 'filter:sink', 'paper:filter', 'catcher:sink', 'stud']"
60,jar,"['jar', 'jar:sugar', 'jar:coffee', 'jar:filter', 'jar:salt', 'jar:honey']"
61,rack:drying,"['rack:drying', 'rack', 'rack:dish', 'drainer']"
62,chicken,"['chicken', 'thigh:chicken', 'breast:chicken', 'piece:chicken', 'breast']"
63,tray,"['tray', 'tray:baking', 'pan:baking', 'tray:pizza', 'tin:baking', 'base:tin']"
64,mixture,"['mixture', 'mix']"
65,towel,"['towel', 'towel:tea']"
66,towel:kitchen,"['towel:kitchen', 'towel:paper', 'roll:kitchen']"
67,peach,"['peach', 'slice:peach']"
68,skin,"['skin', 'skin:onion', 'skin:potato', 'peel', 'peel:onion', 'peeling', 'peeling:onion', 'peeling:carrot', 'rind', 'skin:squash', 'skin:carrot', 'skin:banana']"
69,courgette,"['courgette', 'piece:courgette']"
