uid,participant_id,video_id,narration,start_timestamp,stop_timestamp,start_frame,stop_frame,verb,verb_class,noun,noun_class,all_nouns,all_noun_classes
0,P01,P01_01,open door,00:00:00.14,00:00:03.37,8,202,open,2,door,8,['door'],[8]
1,P01,P01_01,turn on light,00:00:04.37,00:00:06.17,262,370,turn-on,12,light,113,['light'],[113]
2,P01,P01_01,close door,00:00:06.98,00:00:09.49,418,569,close,3,door,8,['door'],[8]
3,P01,P01_01,open fridge,00:00:12.77,00:00:13.99,766,839,open,2,fridge,10,['fridge'],[10]
4,P01,P01_01,take celery,00:00:15.25,00:00:16.40,915,983,take,0,celery,185,['celery'],[185]
5,P01,P01_01,take container,00:00:16.50,00:00:18.06,990,1083,take,0,container,29,['container'],[29]
6,P01,P01_01,take tofu,00:00:18.19,00:00:21.14,1091,1268,take,0,tofu,159,['tofu'],[159]
7,P01,P01_01,close fridge,00:00:21.91,00:00:23.33,1314,1399,close,3,fridge,10,['fridge'],[10]
8,P01,P01_01,open fridge,00:00:23.18,00:00:24.29,1390,1457,open,2,fridge,10,['fridge'],[10]
9,P01,P01_01,take carrots and,00:00:24.48,00:00:27.94,1468,1676,take,0,carrot,40,['carrot'],[40]
10,P01,P01_01,open drawer,00:00:24.97,00:00:26.20,1498,1572,open,2,drawer,9,['drawer'],[9]
11,P01,P01_01,close fridge,00:00:29.22,00:00:31.32,1753,1879,close,3,fridge,10,['fridge'],[10]
12,P01,P01_01,put down vegetables,00:00:36.68,00:00:37.78,2200,2266,put-down,1,vegetable,90,['vegetable'],[90]
13,P01,P01_01,open cupboard,00:00:41.79,00:00:42.55,2507,2553,open,2,cupboard,8,['cupboard'],[8]
14,P01,P01_01,take cutting board,00:00:43.20,00:00:46.64,2592,2798,take,0,board:cutting,19,['board:cutting'],[19]
15,P01,P01_01,put down cutting board,00:00:46.45,00:00:47.81,2787,2868,put-down,1,board:cutting,19,['board:cutting'],[19]
16,P01,P01_01,close cupboard,00:00:47.75,00:00:48.76,2865,2925,close,3,cupboard,8,['cupboard'],[8]
17,P01,P01_01,open drawer,00:00:51.66,00:00:53.00,3099,3180,open,2,drawer,9,['drawer'],[9]
18,P01,P01_01,take knife,00:00:53.50,00:00:56.00,3210,3360,take,0,knife,5,['knife'],[5]
19,P01,P01_01,take knife,00:00:53.55,00:00:54.36,3213,3261,take,0,knife,5,['knife'],[5]
20,P01,P01_01,put down knife,00:00:54.73,00:00:55.74,3283,3344,put-down,1,knife,5,['knife'],[5]
21,P01,P01_01,close drawer,00:00:56.10,00:00:56.60,3366,3396,close,3,drawer,9,['drawer'],[9]
22,P01,P01_01,put down knife,00:00:57.45,00:00:58.70,3447,3522,put-down,1,knife,5,['knife'],[5]
23,P01,P01_01,open tap,00:00:59.05,00:01:02.30,3543,3738,open,2,tap,3,['tap'],[3]
24,P01,P01_01,wash courgette,00:01:01.86,00:01:05.23,3711,3913,wash,4,courgette,69,['courgette'],[69]
25,P01,P01_01,still washing courgette,00:01:05.20,00:01:13.13,3912,4387,wash,4,courgette,69,['courgette'],[69]
26,P01,P01_01,wash carrot,00:01:14.29,00:01:18.89,4457,4733,wash,4,carrot,40,['carrot'],[40]
27,P01,P01_01,still washing carrot,00:01:18.99,00:01:22.79,4739,4967,wash,4,carrot,40,['carrot'],[40]
28,P01,P01_01,close tap,00:01:22.19,00:01:23.19,4931,4991,close,3,tap,3,['tap'],[3]
29,P01,P01_01,put down vegetables,00:01:25.49,00:01:26.49,5129,5189,put-down,1,vegetable,90,['vegetable'],[90]
30,P01,P01_01,open cupboard,00:01:27.43,00:01:28.29,5245,5297,open,2,cupboard,8,['cupboard'],[8]
31,P01,P01_01,take grater,00:01:32.53,00:01:34.09,5551,5645,take,0,grater,131,['grater'],[131]
32,P01,P01_01,take pan,00:01:35.28,00:01:39.56,5716,5973,take,0,pan,1,['pan'],[1]
33,P01,P01_01,put down pan,00:01:40.74,00:01:42.26,6044,6135,put-down,1,pan,1,['pan'],[1]
34,P01,P01_01,close cupboard,00:01:41.66,00:01:42.41,6099,6144,close,3,cupboard,8,['cupboard'],[8]
