participant_id,video_id,start_timestamp,stop_timestamp,narration
P01,P01_01,00:00:01.089,00:00:02.629,open door
P01,P01_01,00:00:02.629,00:00:05.349,turn on light
P01,P01_01,00:00:05.349,00:00:11.040,close door
P01,P01_01,00:00:11.040,00:00:13.360,open fridge
P01,P01_01,00:00:13.360,00:00:14.990,take celery
P01,P01_01,00:00:14.990,00:00:18.850,take container
P01,P01_01,00:00:18.850,00:00:20.410,take tofu
P01,P01_01,00:00:20.410,00:00:21.650,close fridge
P01,P01_01,00:00:21.650,00:00:23.340,open fridge
P01,P01_01,00:00:23.340,00:00:24.490,open drawer
P01,P01_01,00:00:24.490,00:00:27.960,take carrots and
P01,P01_01,00:00:27.960,00:00:29.539,close fridge
P01,P01_01,00:00:29.539,00:00:39.780,put down vegetables
P01,P01_01,00:00:39.780,00:00:44.140,open cupboard
P01,P01_01,00:00:44.140,00:00:45.649,take cutting board
P01,P01_01,00:00:45.649,00:00:46.870,put down cutting board
P01,P01_01,00:00:46.870,00:00:50.360,close cupboard
P01,P01_01,00:00:50.360,00:00:51.700,open drawer
P01,P01_01,00:00:51.700,00:00:53.670,take knife
P01,P01_01,00:00:53.670,00:00:54.670,put down knife
P01,P01_01,00:00:54.670,00:00:55.670,take knife
P01,P01_01,00:00:55.670,00:00:56.670,close drawer
P01,P01_01,00:00:56.670,00:00:59.079,put down knife
P01,P01_01,00:00:59.079,00:01:00.079,open tap
P01,P01_01,00:01:00.079,00:01:08.109,wash courgette
P01,P01_01,00:01:08.109,00:01:12.520,still washing courgette
P01,P01_01,00:01:12.520,00:01:18.789,wash carrot
P01,P01_01,00:01:18.789,00:01:20.469,still washing carrot
P01,P01_01,00:01:20.469,00:01:24.229,close tap
P01,P01_01,00:01:24.229,00:01:26.310,put down vegetables
P01,P01_01,00:01:26.310,00:01:32.149,open cupboard
P01,P01_01,00:01:32.149,00:01:37.630,Take grater
P01,P01_01,00:01:37.630,00:01:39.149,Take pan
P01,P01_01,00:01:39.149,00:01:40.169,Put down pan
P01,P01_01,00:01:40.169,00:01:41.340,Close cupboard
P01,P01_01,00:01:41.340,00:01:43.579,Close cupboard
P01,P01_01,00:01:43.579,00:01:44.579,Take courgette
P01,P01_01,00:01:44.579,00:02:04.479,Cut courgette
P01,P01_01,00:02:04.479,00:02:05.479,Turn on hob
P01,P01_01,00:02:05.479,00:02:17.530,Cut courgette
P01,P01_01,00:02:17.530,00:02:30.379,Still cutting courgette
P01,P01_01,00:02:30.379,00:02:48.780,Dicing courgette
P01,P01_01,00:02:48.780,00:02:50.170,Still dicing courgette
P01,P01_01,00:02:50.170,00:03:41.969,Still dicing courgette
P01,P01_01,00:03:41.969,00:04:08.370,still dicing courgette
