uid,participant_id,video_id,narration,start_timestamp,stop_timestamp,start_frame,stop_frame,verb,verb_class,noun,noun_class,all_nouns,all_noun_classes
119,P01,P01_01,stay stirring vegetables,00:08:45.83,00:09:01.44,31549,32486,stay,,vegetable:stirring,90,['vegetable:stirring'],[90]
247,P01,P01_01,waiting for rice to be cooked,00:19:43.09,00:20:11.97,70985,72718,wait-for,,rice,44,['rice'],[44]
269,P01,P01_01,waiting for rice,00:21:55.88,00:21:58.93,78952,79135,wait-for,,rice,44,['rice'],[44]
270,P01,P01_01,still waiting for rice,00:22:20.37,00:22:33.51,80422,81210,wait-for,,rice,44,['rice'],[44]
396,P01,P01_02,green spatula,00:03:38.99,00:03:46.01,13139,13560,,,spatula:green,22,['spatula:green'],[22]
1057,P01,P01_09,waiting for water to be hot,00:01:26.74,00:01:47.78,5204,6466,wait-for,,water,17,['water'],[17]
1334,P01,P01_09,mushrooms onto plate,00:23:51.75,00:23:56.21,85905,86172,mushroom-onto,,plate,4,['plate'],[4]
2043,P01,P01_11,hand cloth,00:06:33.27,00:06:34.99,23596,23699,cloth,,cloth,32,['cloth'],[32]
2952,P01,P01_17,still,00:04:35.92,00:04:44.86,16555,17091,,,lettuce,73,['lettuce'],[73]
3415,P01,P01_18,hand cloth,00:18:38.66,00:18:40.62,67119,67237,cloth,,cloth,32,['cloth'],[32]
3477,P01,P01_18,wait for water to boil,00:22:18.30,00:22:23.55,80298,80613,wait-for,,water,17,['water'],[17]
3478,P01,P01_18,continue waiting,00:22:23.65,00:23:00.93,80619,82855,wait,,water,17,['water'],[17]
3528,P01,P01_18,wait for oil to be hot,00:26:13.11,00:26:42.02,94386,96121,wait-for,,oil,24,['oil'],[24]
3531,P01,P01_18,wait,00:27:04.40,00:27:20.73,97464,98443,wait,,stock,111,['stock'],[111]
3534,P01,P01_18,wait for oil,00:27:23.05,00:27:52.17,98583,100330,wait-for,,oil,24,['oil'],[24]
3727,P01,P01_18,wait for risotto,00:45:19.97,00:45:54.75,163198,165285,wait-for,,risotto,210,['risotto'],[210]
3737,P01,P01_18,wait for risotto,00:48:08.41,00:48:15.21,173304,173712,wait-for,,risotto,210,['risotto'],[210]
3769,P01,P01_18,wait for risotto,00:51:24.20,00:51:55.00,185052,186900,wait-for,,risotto,210,['risotto'],[210]
3770,P01,P01_18,continue waiting for risotto,00:51:44.78,00:51:58.70,186286,187122,wait-for,,risotto,210,['risotto'],[210]
3774,P01,P01_18,wait for risotto,00:52:36.04,00:53:15.85,189362,191751,wait-for,,risotto,210,['risotto'],[210]
3799,P01,P01_18,wait for risotto,00:55:40.75,00:56:15.04,200445,202502,wait-for,,risotto,210,['risotto'],[210]
3825,P01,P01_18,wait for risotto,00:59:28.40,00:59:40.14,214104,214808,wait-for,,risotto,210,['risotto'],[210]
4036,P02,P02_01,scoop sugar,00:01:34.23,00:01:35.62,5653,5737,sugar,,scoop,7,['scoop'],[7]
4046,P02,P02_01,sink,00:01:58.57,00:02:00.64,7114,7238,sink,,sink,33,['sink'],[33]
