verb_id,class_key,verbs
0,take,"['take', 'grab', 'pick', 'draw', 'get', 'grab-up', 'collect-from', 'take-up', 'grab-down', 'pull-down', 'fetch', 'pick-up']"
1,put,"['put', 'pose', 'put-away', 'place-that', 'place-down', 'put', 'set-down', 'put-over', 'place-on', 'reture', 'put-on', 'place-away', 'swap', 'layer', 'position', 'put-down', 'put-back', 'place-back', 'return', 'pace', 'dose', 'put-up', 'leave', 'place', 'put-aside', 'lay', 'reposition', 'replace', 'put-onto']"
2,open,"['open', 'unzip', 'open-up']"
3,close,"['close', 'close-off', 'shut']"
4,wash,"['wash', 'sponge', 'lather', 'wash-with', 'rinse', 'rinse-off', 'soap-up', 'wash-off', 'soap', 'rise', 'wash-up', 'clean-around', 'clean-off', 'clean-with', 'clean', 'clean-up', 'wipe-down', 'wipe-of', 'wipe', 'wipe-off']"
5,cut,"['cut', 'chop', 'chop-off', 'cut-off', 'slice-into', 'slice-along', 'slice-off', 'stem', 'slice-up', 'cut-into', 'dice', 'half', 'halve', 'chop-up', 'snip', 'trim', 'slice']"
6,mix,"['mix', 'beat', 'mix-around', 'stir-with', 'whisk', 'stir', 'blend', 'mix-in', 'stir-in']"
7,pour,"['pour', 'pour-in', 'tip-in', 'pour-out', 'pour-on', 'pour-into', 'sieve']"
8,throw,"['throw', 'throw-out', 'recycle', 'dispose-of', 'throw-over', 'throw-away', 'throw-in', 'bin', 'trow', 'toss']"
9,move,"['move', 'transfer', 'move-around']"
10,remove,"['remove', 'extract', 'take-off', 'remove-out', 'take-out', 'get-out', 'remove-inside', 'remove-from', 'pick-out']"
11,dry,"['dry', 'dry-off', 'towel']"
12,turn-on,"['turn-on', 'start', 'begin', 'ignite', 'switch-on', 'activate', 'water-on', 'play', 'start-to', 'restart', 'light']"
13,turn,"['turn', 'rotate']"
14,shake,"['shake', 'shake-off', 'shake-out']"
15,turn-off,"['turn-off', 'switch-of', 'water-off', 'switch-off', 'switch-out', 'shut-off', 'turn-of']"
16,peel,"['peel', 'skin-from', 'skin', 'peel-off', 'peel-back']"
17,adjust,"['adjust', 'change', 'regulate']"
18,empty,['empty']
19,scoop,"['scoop', 'spoon-in', 'spoon', 'scoop-out', 'scoop-up']"
20,check,"['check', 'ensure', 'test', 'look-in', 'watch', 'inspect', 'check-on']"
21,squeeze,"['squeeze', 'squidge', 'squidge-into', 'squash', 'squish-into', 'wring-out', 'wring', 'squish', 'squeeze-into']"
22,insert,"['insert', 'put-in', 'put-into', 'fit', 'place-in', 'put-inside']"
23,press,"['press', 'push-down', 'collapse', 'compress', 'push', 'press-on']"
24,fill,"['fill', 'fill-with', 'fill-up', 'stuff']"
25,add,"['add', 'combine', 'add-to']"
26,scrape,"['scrape', 'scrape-out', 'loose', 'scour', 'scrap', 'scrape-off']"
27,sharpen,"['sharpen', 'thin']"
28,wrap,"['wrap', 'top', 'lid', 'cover', 'seal', 'clamp', 'fasten', 'reseal', 'clip', 'wrap-up', 'tie']"
29,roll,"['roll', 'roll-up']"
30,sprinkle,"['sprinkle', 'sprinkle-on', 'drizzle', 'scatter', 'sprincle', 'crumble']"
31,break,"['break', 'snap', 'crack', 'break-up']"
32,flip,"['flip', 'overturn', 'turn-over']"
33,hang,"['hang', 'drape', 'hang-up']"
34,hold,['hold']
35,sort,"['sort', 'rearrange', 'arrange', 'clear', 'tidy', 'line-up']"
36,apply,"['apply', 'spread']"
37,crush,"['crush', 'hit', 'grind', 'grate', 'mash', 'crush']"
38,search,"['search', 'search-for', 'search-in', 'look-for', 'find', 'locate']"
39,sample,"['sample', 'taste', 'smell', 'lick']"
40,knead,['knead']
41,set,"['set', 'set-up', 'set-out']"
42,walk,"['walk', 'enter', 'enter-into', 'walk-into', 'walk-around', 'walk-to', 'walk-with']"
43,divide,"['divide', 'split', 'detach', 'separate', 'distribute']"
44,spray,"['spray', 'spay']"
45,use,"['use', 'used-to', 'used']"
46,fold,['fold']
47,cook,"['cook', 'toast', 'fry-in', 'heat', 'fry', 'reduce', 'boil']"
48,filter,"['filter', 'strain', 'drain', 'dump-out']"
49,scrub,"['scrub', 'scrub-inside']"
50,look,"['look', 'stare-at', 'see', 'read-on', 'read', 'look-at']"
51,finish,"['finish', 'stop', 'end', 'do']"
52,soak,"['soak', 'submerge', 'immerse']"
53,brush,['brush']
54,pull,"['pull', 'pull-out']"
55,pat,"['pat', 'pat-into', 'dab', 'tap', 'tap-on', 'poke', 'pat-down']"
56,form,"['form', 'shape', 'forge', 'make', 'shape-into']"
